!!!,sillyname,143.98649,Myth Takes,Myth Takes,2007
The Chap,classic pop and rock,207.28118,Lo Compilation Mix By Susumu Yokota,Volumatic Spacer Device,2003
The Chap,classic pop and rock,170.05669,Lo Compilation Mix By Susumu Yokota,We Are Not Impartial,2006
The Chap,classic pop and rock,216.2673,Proper Rock,What's Love Got to Do With It,2008
The Chap,classic pop and rock,145.50159,Mega Breakfast,They Have a Name,2008
The Chap,classic pop and rock,213.89016,Well Done Europe,Gimme Legs,2010
The Chi Lites,classic pop and rock,170.70975,Nothing Lasts For Ever,Toby,1974
The Chieftains,folk,185.86077,Music Of The Celtic Harp,Carolan's Concerto,1971
The Chieftains,folk,231.1571,The Chieftains 7,No. 6 The Coombe,1977
The Chieftains,folk,217.25995,St. Patrick'S Day Celebration,When A Man's In Love,1980
The Chieftains,folk,187.92444,Further Down The Old Plank Road,The Raggle Taggle Gypsy,2003
The Chieftains;Colin James,folk,218.33098,Another Country,CAonla/The Friar's Breeches,1992
THE CHIFFONS,classic pop and rock,156.36853,Sweet Talkin' Girls: The Best Of The Chiffons,When Summer's Through,1963
THE CHIFFONS,classic pop and rock,129.67138,Original Hits - Rock 'N' Roll,One Fine Day,1963
THE CHIFFONS,classic pop and rock,138.762,The Chiffons Absolutetly The Best!,Did You Ever Go Steady,1963
The Chi-Lites,classic pop and rock,274.83383,The Chi-Lites Live In Concert,The Coldest Days Of My Life,1972
The Clash,uk,140.77342,The Future Is Unwritten,I'm So Bored With The U.S.A.,1977
The Clash,uk,227.57832,London Calling (Legacy Edition),Death Or Glory,1979
The Clash,uk,308.50567,Sandinista!,Lose This Skin,1980
The Clash,uk,130.63791,London Calling / Combat Rock,Inoculated City,1982
The Clash,uk,159.65995,Cut The Crap,Life Is Wild,1985
The Cortinas,uk,219.01016,Please Don't Hit Me,Radio Rape,1978
The Crystal Method,electronic,341.08036,Keep Hope Alive EP,Keep Hope Alive,1995
The Crystal Method,electronic,357.642,Keep Hope Alive EP,More,1997
The Crystal Method,electronic,228.85832,Legion Of Boom,Realizer,2004
The Cure,new wave,209.60608,Concert - The Cure Live,Primary,1981
The Cure,new wave,67.76118,Faith,Doubt,1981
The Cure,new wave,250.85342,The Cure - Greatest Hits (Deluxe Sound & Vision) PAL,Cut Here,2001
The Cure,new wave,232.48934,AOL Sessions,Lost,2004
The Del McCoury Band,folk,173.97506,The Promise Land,Led By the Master's Hand,2006
The Del McCoury Band,folk,171.67628,The Promise Land,It's Surprising What the Lord Can Do,2006
The Dillinger Escape Plan,rock and indie,144.01261,Calculating Infinity,Sugar Coated Sour,1999
The Dillinger Escape Plan,rock and indie,207.77751,Miss Machine,Setting Fire to Sleeping Giants,2004
The Dillinger Escape Plan,rock and indie,281.23383,Option Paralysis,Parasitic Twins,2010
The Disposable Heroes Of Hiphoprisy,rock and indie,241.52771,Hypocrisy Is The Greatest Luxury,Music And Politics,1992
The Doors,hard rock,186.56608,Strange Days,Strange Days ( LP Version ),1967
The Edgar Broughton Band,uk,245.44608,Sing Brother Sing,Aphrodite (1999 Digital Remaster),1970
The Field Mice,classic pop and rock,316.73424,Coastal,When Morning Comes To Town,1989
The Field Mice,classic pop and rock,335.46404,Coastal,Below The Stars,1990
The Flies,classic pop and rock,222.40608,The Flies,All Too Human,2007
The Fray,pop and chart,231.07873,How To Save A Life,Vienna,2002
The Fray,pop and chart,227.60444,Acoustic In Nashville - Bootleg No. 2,She Is,2005
The Fray,pop and chart,240.56118,NOW That's What I Call Music_ Vol. 31,You Found Me,2008
The Fray,pop and chart,227.082,The Fray,Absolute,2009
The Germs,los angeles,206.05342,Germicide,Forming,1977
The Germs,los angeles,111.49016,M.I.A.: The Complete Germs,Going Down,1993
The Impressions,rock and indie,207.35955,The Impressions,I Found You,1963
The Impressions,rock and indie,168.01914,This Is My Country,This Is My Country,1968
The Impressions,rock and indie,236.69506,Times Have Changed,Need To Belong To Someone,1972
The Jam,uk,150.59546,The Jam Story,The Modern World,1977
The Jam,uk,157.3873,In The City,Bricks And Mortar,1977
The Jam,uk,135.83628,Snap,Start!,1980
The Jam,uk,147.64363,Dig The New Breed,Start!,1980
The James Taylor Quartet,jazz and blues,315.14077,Whole Lotta Live 1998,Creation,1996
The James Taylor Quartet,jazz and blues,283.37587,The Oscillator,The Obsession,2003
The Jason Bonham Band,british,290.19383,MAD HATTER,Bing,1992
The Jason Bonham Band,british,260.51873,MAD HATTER,Hold On,1992
The Jeff Healey Band,classic pop and rock,223.92118,LIVE AT MONTREUX,My Little Girl,1988
The Jeff Healey Band,classic pop and rock,267.33669,Master Hits,See The Light,1988
The Jeff Healey Band,classic pop and rock,313.7824,Road House,Hoochie Coochie Man,1989
The Jeff Healey Band,classic pop and rock,283.03628,Legacy:Volume One,It Could All Get Blown Away,1992
The Killers,rock and indie,166.29506,Sawdust,Show You How,2004
The Killers,rock and indie,527.98649,Rock Hits Workout 45 Minute Continuous Fitness Music Mix. 114Bpm  152Bpm For Jogging_ Cycling_ Spin,Mr. Brightside (Jacques Lu Cont's Thin White Duke Mix),2005
The Killers,rock and indie,269.76608,When You Were Young,When You Were Young,2006
The Killers,rock and indie,284.3424,Hitzone 49,Spaceman,2008
The Killers,rock and indie,225.12281,Day & Age,A Dustland Fairytale,2008
The Mars Volta,progressive rock,380.42077,Deloused in the Comatorium,Eriatarka,2003
The Mars Volta,progressive rock,521.63873,Deloused in the Comatorium,Take The Veil Cerpin Taxt,2003
The Mars Volta,progressive rock,266.47465,Inertiatic Esp,Inertiatic Esp,2003
The Mars Volta,progressive rock,165.72036,Scab Dates,Caviglia,2005
The MC5,rock and indie,149.96853,Back In The USA,The American Ruse (LP Version),1970
The Mighty Mighty Bosstones,ska,196.10077,Question The Answers,Pictures To Prove It,1994
The Misfits,horror punk,133.27628,Collection 2,Halloween II,1981
The Misfits,horror punk,73.09016,Collection 2,We Bite,1982
The Misfits,horror punk,82.1024,Static Age,She (1997 Digital Remaster),1996
The Misfits,horror punk,85.9424,American Psycho,The Haunting,1997
The Misfits,horror punk,181.21098,American Psycho,Dig Up Her Bones,1997
The Monroes,norwegian,219.61098,Sunday People,Arabian Night,1983
The New York Dolls,punk,234.84036,Morrissey Presents The Return Of The New York Dolls - Live From Royal Festival Hall 2004,Vietnamese Baby,1973
The New York Dolls,punk,344.05832,Too Much Too Soon,Human Being,1974
The New York Dolls,punk,245.68118,20th Century Masters: The Millennium Collection: Best Of The New York Dolls,Stranded In The Jungle,1974
The New York Dolls,punk,344.45016,Too Much Too Soon,Human Being,1974
The Notorious B.I.G.,hip hop rnb and dance hall,316.65587,Greatest Hits,Who Shot Ya (Amended Album Version),2007
The Pharcyde,rock and indie,303.46404,Bizarre Ride II,Passin' Me By,1993
The Pharcyde,rock and indie,11.59791,Humboldt Beginnings,Italian For Goodbye (skit),2004
The Pharcyde,rock and indie,138.50077,Humboldt Beginnings,Homegrown,2004
The Pharcyde,rock and indie,217.88689,Humboldt Beginnings,Storm,2004
The Pharcyde,rock and indie,247.11791,Humboldt Beginnings,The Climb/Paranoia,2004
The Pharcyde / Big Boy / Schmooche Cat / Randy Mack,rock and indie,334.78485,Labcabincalifornia,The Hustle,1995
The Plasmatics,punk,286.9024,Beyond The Valley Of 1984,Summer Nite,1981
The Plasmatics,punk,121.73016,Maggots: The Record,The White's Bedroom - Fire Escape,2000
The Police,british,289.64526,So Lonely,So Lonely,1978
The Police,british,233.45587,Zenyatta Mondatta,Voices Inside My Head,1980
The Police,british,137.45587,Message In A Box,Man In A Suitcase,1980
The Police,british,313.70404,Message In A Box,Wrapped Around Your Finger,1983
The Police,british,318.01424,Certifiable,King Of Pain,1983
The Presets,rock and indie,281.0771,Are You The One?,Are You The One?,2005
The Presets,rock and indie,243.9571,Truth & Lies,Truth And Lies,2006
The Presets,rock and indie,271.85587,Apocalypso,Yippiyo-Ay,2008
The Presets,rock and indie,351.32036,If I Know You,If I Know You,2008
The Prodigy,electronic,265.76934,What Evil Lurks,What Evil Lurks,1991
The Prodigy,electronic,225.09669,Put Your Hands Up! 4,Firestarter,1996
The Raconteurs,alternative rock,230.5824,Broken Boy Soldier,Broken Boy Soldier (KCRW Version),2006
The Rapture,rock and indie,218.22649,Echoes,Killing,2003
The Rapture,rock and indie,277.02812,Pieces Of The People We Love,The Devil,2006
The Real Kids,boston,252.26404,The Real Kids,Better Be Good,1976
The Real Kids,boston,263.75791,Better Be Good,Just Like Darts,1977
The Real Kids,boston,222.11873,Senseless: Live At Cantone's_ 1982,Now You Know,1996
The Robert Cray Band,classic pop and rock,173.322,The Definitive Collection,Bad Influence,1983
The Robert Cray Band,classic pop and rock,278.54322,Live From Across The Pond,Phone Booth,1983
The Roches,folk,243.51302,The Roches,Mr. Sellack (Album Version),1979
The Roches,folk,165.98159,Nurds,It's Bad For Me (Album Version),1980
The Roches,folk,295.13098,Keep On Doing,Losing True (Album Version),1982
The Roches,folk,329.45587,We Three Kings,We Three Kings,1990
The Roches,folk,338.33751,Can We Go Home Now,Christlike Roche,1995
The Rolling Stones,british,116.92363,Got Live if you want it!,Fortune Teller,1963
The Rolling Stones,british,172.72118,12 x 5,Time Is On My Side,1964
The Rolling Stones,british,183.17016,12 x 5,Around And Around,1964
The Rolling Stones,british,189.67465,Aftermath (UK Version),Think,1966
The Rolling Stones,british,272.43057,Exile On Main St,Rocks Off,1972
The Rolling Stones,british,242.20689,Live Licks,Start Me Up,1981
The Ronettes,phil spector,182.83057,Phil Spector's Wall Of Sound Retrospective Phillies Sound 1961-1996,(The Best Part Of) Breakin' Up,1964
The Ronettes,phil spector,177.81506,The Best Of The Ronettes,Born To Be Together,1991
The Ruby Suns,classic pop and rock,70.89587,The Ruby Suns,Function Of The Sun,2005
The Sensational Alex Harvey Band,classic pop and rock,536.0322,Zalvation,Framed,1972
The Sensational Alex Harvey Band,classic pop and rock,316.81261,Live / The Penthouse Tapes,Delilah,1975
The Shamen,electronic,247.53587,Heal (The Separation),Heal (The Separation) [H.E.L.P Breakbeat],1996
The Shamen,electronic,280.31955,Heal (The Separation),Heal (The Separation) [PM Dawn Alt. Lead Mix],1996
The Shirelles,american,159.76444,Dreamboats & Petticoats 2,Will You Love Me Tomorrow,1960
The Shirelles,american,127.29424,Where Or When,Dedicated To The One I Love,1960
The Shirelles,american,132.33587,Karaoke: 60's Star Power - Singing to the Hits,Foolish Little Girl,1963
The Smashing Pumpkins,alternative rock,246.93506,Siamese Dream,Rocket,1993
The Smashing Pumpkins,alternative rock,184.39791,Rarities & B-Sides,Rotten Apples,1995
The Smashing Pumpkins,alternative rock,249.62567,Rotten Apples_ The Smashing Pumpkins Greatest Hits,Real Love,2000
The Smashing Pumpkins,alternative rock,399.98649,Rarities & B-Sides,Soot and Stars,2001
The Sonics,classic pop and rock,171.15383,Fire and Ice II - The 'Lost' Tapes,Love Lights,1967
The Sonics,classic pop and rock,108.14649,Maintaining My Cool,On The Road Again,1967
The Sonics,classic pop and rock,164.362,Fire and Ice II - The 'Lost' Tapes,Near My Soul,1996
The Statler Brothers,country,201.27302,Flowers On The Wall:  The Essential Statler Brothers 1964-1969,Shenandoah,1967
The Statler Brothers,country,140.69506,Ultimate Country Christmas,White Christmas,1994
The Stooges,classic pop and rock,328.9073,1970: The Complete Fun House Sessions,T.V. Eye (Take 3),1999
The Stranglers,new wave,217.96526,La Folie,It Only Takes Two To Tango,1981
The Strokes,rock and indie,191.29424,Room On Fire,Between Love & Hate,2003
The Strokes,rock and indie,177.18812,Room On Fire,Meet Me In The Bathroom,2003
The Sugarhill Gang,old school hip-hop,451.02975,The Greatest Hits,8th Wonder,1981
The Temper Trap,australia,232.75057,Nu Disco '10,Sweet Disposition,2008
The Velvet Underground,experimental rock,276.68853,The Very Best Of The Velvet Underground,I Heard Her Call My Name,1968
The Velvet Underground,experimental rock,170.89261,The Velvet Underground Story 2CD Set,Stephanie Says,1985
The Waybacks,folk,288.49587,Devolver,McHattie's Waltz,2000
The White Stripes,indie rock,160.31302,Blue Orchid,Blue Orchid,2005
The White Stripes,indie rock,274.59873,Icky Thump,Im Slowly Turning Into You,2007
The White Stripes,indie rock,259.5522,Icky Thump,A Martyr For My Love For You,2007
The Who,british,271.69914,The Who By Numbers,Slip Kid,1975
The Who,british,169.66485,The Kids Are Alright,Anyway_ Anyhow_ Anywhere,1979
The Who,british,167.44444,Sell Out,Sodding About,2009
themselves,american,245.31546,the no music.,You Devil You,2002
themselves,american,274.1024,Them,Directions to my special place,2003
themselves,american,271.43791,Them,Crayon Sharpener,2003
themselves,american,195.18649,Crownsdown,Oversleeping,2009
Thomas Dolby,uk,309.57669,Premium Gold Collection,One Of Our Submarines,1982
Thomas Dolby,uk,259.18649,The Golden Age Of Wireless,Windpower (2009 Digital Remaster),1982
Thomas Dolby,uk,265.45587,The Sole Inhabitant,Windpower,1982
Thomas Dolby,uk,223.45098,Blinded By Science,She Blinded Me With Science,1982
Thomas Dolby,uk,328.72444,Retrospectacle - The Best Of Thomas Dolby,Screen Kiss,1984
Through the Eyes of the Dead,death metal,41.482,Bloodlust,Outro,2005
Tigertailz,wales,309.18485,Thrill Pistol / Wazbones,Thrill Pistol,2007
Tim Exile,deutschland,80.3522,Tim Exile's Nuisance Gabbaret Lounge,Post-Toxic Finger Disorder,2006
Tim Exile,deutschland,78.21016,Tim Exile's Nuisance Gabbaret Lounge,Oh Scat Mix Up,2006
Tim Exile,deutschland,305.55383,Listening Tree,Family Galaxy,2009
Tim Exile,deutschland,369.57995,Listening Tree,Fortress,2009
Timo Maas,german,417.56689,Loud,Bad Days,2001
Timo Maas,german,232.38485,Pictures,First Day (Album version),2005
Timo Maas featuring MC Chikaboo,german,333.87057,Loud,Shifter,2002
Timothy Byram-Wigfield,classical,473.46893,Olivier Messiaen: Les Corps Glorieux - Le Banquet cA(c)leste - Apparition de l'Eglise A(c)ternelle,Les Corps Glorieux: III. L'Ange aux parfums,2002
Tin Hat Trio,jazz and blues,407.06567,Helium,Width Of The World,2000
Tin Hat Trio,jazz and blues,44.59057,Helium,Scrap,2000
Tin Hat Trio,jazz and blues,292.04853,The Rodeo Eroded,Rubies_ Pearls_ And Emeralds,2002
Tin Hat Trio,jazz and blues,276.58404,The Rodeo Eroded,Willow Weep For Me (With Willie Nelson),2002
Tinariwen,malian,336.32608,Amassakoul,Chatma,2003
Tinariwen,malian,238.68036,Aman Iman: Water Is Life,Assouf,2007
Tinariwen,malian,328.85506,Imidiwan: Companions,Tenhert,2009
Tito PuentA(c),jazz,362.50077,Salsa Salsa,Bata 6/8,1987
Tito Puente,jazz,295.05261,Mambo Diablo,China,1972
Tito Puente,jazz,178.46812,Mamborama,Mambo Suavecito,1993
Tito Puente,jazz,180.00934,Mamborama,Mambo Tipico,1993
Tito Puente,jazz,356.41424,Live At The Playboy Jazz Festival,Flight To Jordan,1998
Tom Cochrane,country,320.44363,Mad Mad World,Washed Away,1992
Tom Cochrane,country,220.81261,Songs Of A Circling Spirit,Paper Tigers (acoustic version),1997
Tom Petty,classic pop and rock,236.17261,Wildflowers,A Higher Place (Album Version),1994
Tom Petty,classic pop and rock,190.32771,Wildflowers,Wildflowers (Album Version),1994
Tones On Tail,uk,387.16036,Everything!,Burning Skies,1987
Toni Braxton,hip hop rnb and dance hall,267.2322,Toni Braxton,Best Friend,1993
Toni Braxton,hip hop rnb and dance hall,262.08608,The Essential Toni Braxton,He Wasn't Man Enough,2000
Toni Braxton,hip hop rnb and dance hall,258.48118,More Than A Woman,Let Me Show You The Way (Out),2002
Toni Braxton,hip hop rnb and dance hall,249.18159,More Than A Woman,Tell Me,2002
Toni Braxton Featuring Babyface,hip hop rnb and dance hall,240.61342,Ultimate Toni Braxton,Give U My Heart,2003
Toni Braxton Featuring Shaggy,hip hop rnb and dance hall,219.01016,Snowflakes,Christmas In Jamaica,2001
Tony Joe White,country,152.842,Tony Joe,A Man Can Only Stand Just So Much Pain (Bonus Track),1970
Tony Joe White,country,329.35138,The Path Of A Decent Groove,The Coloness Of The Chain,1993
Tony Joe White,country,252.1073,Album 95,Menutha,1999
Tony Matterhorn,hip hop rnb and dance hall,183.53587,Reggae Gold 2006,Dutty Wine,2006
Toots & The Maytals,reggae,169.53424,From Bam Bam To Cherry Oh! Baby,Sweet & Dandy,1984
Toots & The Maytals,reggae,128.33914,Time Tough: The Anthology,It's You,1996
Toots & The Maytals,reggae,125.88363,Pressure Drop: The Definitive Collection,She Will Never Let Me Down,1998
Toots Thielemans,guitarist,302.62812,Only Trust Your Heart,Sophisticated Lady,1955
Toots Thielemans,guitarist,109.16526,Chez Toots,Le Temps Des Cerises,1998
Trentemoller,downtempo,368.74404,Hotel St Tropez - La Suite Deluxe,In Progress (Original Mix),2009
Trivium,thrash metal,360.75057,Ember To Inferno,The Deceived,2004
Trivium,thrash metal,321.17506,Shogun,Upon The Shores [Explicit],2008
Trivium,thrash metal,678.76526,Shogun,Shogun [with fade_ for special edition],2008
Trivium,thrash metal,352.02567,Shogun,Into The Mouth Of Hell We March [Explicit],2008
Twista,hip hop rnb and dance hall,368.03873,Adrenaline Rush,It Feels So Good (Album Version),1997
Twista,hip hop rnb and dance hall,200.98567,The Day After,The Day After (featuring Syleena Johnson) (Explicit Chopped & Screwed Version),2005
Twista,hip hop rnb and dance hall,259.36934,The Day After,Had To Call (featuring Snoop Dogg & Sleepy Eyed Jones)  (Explicit Chopped & Screwed Version),2005
Twista,hip hop rnb and dance hall,259.70893,The Day After,Girl Tonite (featuring Trey Songz)  (Explicit Chopped & Screwed Version),2005
Twista Featuring Cee-Lo,hip hop rnb and dance hall,272.50893,Kamikaze,Hope  (Edited Album Version),2004
U.K. Subs,uk,241.99791,Normal Service Resumed,Warhead (Live in Croatia_ 1993),1993
U.K. Subs,uk,116.1922,Normal Service Resumed,Fear of Girls (Live in Croatia_ 1993),1993
U2,irish,142.23628,October,October,1981
